Time,Height
0.0,-0.0
0.001,-0.0
0.002,-0.0
0.003,2e-06
0.004,5.997999999999876e-06
0.005,1.1992001999998648e-05
0.006,1.998000999799301e-05
0.007,2.9960029987977116e-05
0.008,4.193006995794367e-05
0.009000000000000001,5.58881398878862e-05
0.010000000000000002,7.18322517478027e-05
0.011000000000000003,8.976041949570043e-05
0.012000000000000004,0.00010967065907560208
0.013000000000000005,0.00013156098841555307
0.014000000000000005,0.00015542942742563021
0.015000000000000006,0.0001812739979959516
0.016000000000000007,0.00020909272399468774
0.017000000000000008,0.00023888363126607387
0.01800000000000001,0.0002706447476284237
0.01900000000000001,0.00030437410287214423
0.02000000000000001,0.000340069728757752
0.02100000000000001,0.00037772965901389027
0.022000000000000013,0.0004173519293353479
0.023000000000000013,0.00045893457738107896
0.024000000000000014,0.0005024756427722242
0.025000000000000015,0.0005479731670901332
0.026000000000000016,0.0005954251938743878
0.027000000000000017,0.0006448297686208276
0.028000000000000018,0.0006961849387795751
0.02900000000000002,0.000749488753753064
0.03000000000000002,0.0008047392648940669
0.03100000000000002,0.0008619345255037261
0.03200000000000002,0.0009210725908295836
0.03300000000000002,0.0009821515180636138
0.03400000000000002,0.0010451693663402575
0.035000000000000024,0.0011101241967344559
0.036000000000000025,0.0011770140722596868
0.037000000000000026,0.001245837057866002
0.03800000000000003,0.0013165912204380656
0.03900000000000003,0.0013892746287931933
0.04000000000000003,0.001463885353679394
0.04100000000000003,0.0015404214677734113
0.04200000000000003,0.001618881045678767
0.04300000000000003,0.0016992621639238057
0.04400000000000003,0.0017815629009597406
0.04500000000000003,0.0018657813371587004
0.046000000000000034,0.0019519155548117773
0.047000000000000035,0.002039963638127077
0.048000000000000036,0.002129923673227768
0.04900000000000004,0.0022217937481501357
0.05000000000000004,0.0023155719528416335
0.05100000000000004,0.0024112563791589374
0.05200000000000004,0.0025088451208660025
0.05300000000000004,0.0026083362736321184
0.05400000000000004,0.0027097279350299683
0.05500000000000004,0.0028130182045336865
0.05600000000000004,0.0029182051835169205
0.057000000000000044,0.0030252869752508916
0.058000000000000045,0.0031342616849024574
0.059000000000000045,0.0032451274195321764
0.060000000000000046,0.0033578822880923724
0.06100000000000005,0.0034725244014252015
0.06200000000000005,0.003589051872260719
0.06300000000000004,0.003707462815214949
0.06400000000000004,0.003827755346787952
0.06500000000000004,0.0039499275853619
0.06600000000000004,0.004073977651199145
0.06700000000000005,0.004199903666440295
0.06800000000000005,0.004327703755102287
0.06900000000000005,0.004457376043076463
