Time,North
0.0,0.0
0.001,0.0
0.002,0.0
0.003,0.0
0.004,-1.2031099365280663e-12
0.005,-6.014347308083586e-12
0.006,-1.8039436738333557e-11
0.007,-4.208361147512152e-11
0.008,-8.415041682334942e-11
0.009000000000000001,-1.514405155097932e-10
0.010000000000000002,-2.5235049497791386e-10
0.011000000000000003,-3.9647167661072573e-10
0.012000000000000004,-5.945889268797851e-10
0.013000000000000005,-8.586794704183623e-10
0.014000000000000005,-1.2019117050168618e-09
0.015000000000000006,-1.6386440185385538e-09
0.016000000000000007,-2.1844236077536843e-09
0.017000000000000008,-2.855985299090028e-09
0.01800000000000001,-3.6712503712979513e-09
0.01900000000000001,-4.649325380028052e-09
0.02000000000000001,-5.810500984319444e-09
0.02100000000000001,-7.176250774996754e-09
0.022000000000000013,-8.769230104973908e-09
0.023000000000000013,-1.0613274921462753e-08
0.024000000000000014,-1.2733400600084621e-08
0.025000000000000015,-1.515580078088287e-08
0.026000000000000016,-1.7907846206234495e-08
0.027000000000000017,-2.101808356065888e-08
0.028000000000000018,-2.4516234312521754e-08
0.02900000000000002,-2.8433193557632427e-08
0.03000000000000002,-3.2801028864732395e-08
0.03100000000000002,-3.765297912287335e-08
0.03200000000000002,-4.302345339068273e-08
0.03300000000000002,-4.8948029747514817e-08
0.03400000000000002,-5.5463454146485545e-08
0.035000000000000024,-6.260763926938897e-08
0.036000000000000025,-7.04196633834936e-08
0.037000000000000026,-7.893976920021662e-08
0.03800000000000003,-8.820936273567408e-08
0.03900000000000003,-9.82710121731051e-08
0.04000000000000003,-1.0916844672716827e-07
0.04100000000000003,-1.2094655551010818e-07
0.04200000000000003,-1.3365138639979032e-07
0.04300000000000003,-1.473301449096023e-07
0.04400000000000003,-1.6203119306021953e-07
0.04500000000000003,-1.778040482532335e-07
0.046000000000000034,-1.946993821466406e-07
0.047000000000000035,-2.1276901953218962e-07
0.048000000000000036,-2.3206593721458623e-07
0.04900000000000004,-2.5264426289255215e-07
0.05000000000000004,-2.745592740417373e-07
0.05100000000000004,-2.978673967994831e-07
0.05200000000000004,-3.226262048514349e-07
0.05300000000000004,-3.488944183200014e-07
0.05400000000000004,-3.7673190265465983e-07
0.05500000000000004,-4.0619966752410405e-07
0.05600000000000004,-4.373598657102345e-07
0.057000000000000044,-4.7027579200398755e-07
0.058000000000000045,-5.050118821030025e-07
0.059000000000000045,-5.416337115111247e-07
0.060000000000000046,-5.802079944397419e-07
0.06100000000000005,-6.20802582710953e-07
0.06200000000000005,-6.634864646625669e-07
0.06300000000000004,-7.083297640549291e-07
0.06400000000000004,-7.55403738979575e-07
0.06500000000000004,-8.047807807697072e-07
0.06600000000000004,-8.56534412912495e-07
0.06700000000000005,-9.107392899631953e-07
0.06800000000000005,-9.67471196461091e-07
0.06900000000000005,-1.0268070458472473e-06
0.07000000000000005,-1.0888248793840814e-06
0.07100000000000005,-1.153603865076746e-06
0.07200000000000005,-1.2212242965963248e-06
0.07300000000000005,-1.2917675922048344e-06
0.07400000000000005,-1.3653162936820358e-06
0.07500000000000005,-1.4419540652540506e-06
0.07600000000000005,-1.5217656925237802e-06
0.07700000000000005,-1.6048370814031267e-06
0.07800000000000006,-1.6912552570470133e-06
0.07900000000000006,-1.7811083627892029e-06
0.08000000000000006,-1.8744856590799118e-06
0.08100000000000006,-1.9714775224252187e-06
0.08200000000000006,-2.072175444328263e-06
0.08300000000000006,-2.176672030232237e-06
0.08400000000000006,-2.285060998465163e-06
0.08500000000000006,-2.3974371791864586e-06
0.08600000000000006,-2.5138965133352854e-06
0.08700000000000006,-2.634536051580682e-06
0.08800000000000006,-2.7594539532734753e-06
0.08900000000000007,-2.8887494853999726e-06
0.09000000000000007,-3.0225230215374287e-06
0.09100000000000007,-3.160876040811291e-06
0.09200000000000007,-3.303911126854214e-06
0.09300000000000007,-3.451731966766847e-06
0.09400000000000007,-3.604443350080392e-06
0.09500000000000007,-3.7621511677209273e-06
0.09600000000000007,-3.924962410975498e-06
0.09700000000000007,-4.0929851704599675e-06
0.09800000000000007,-4.266328635088637e-06
0.09900000000000007,-4.445103091045616e-06
0.10000000000000007,-4.6294199207579585e-06
0.10100000000000008,-4.819391601870552e-06
0.10200000000000008,-5.01513170622276e-06
0.10300000000000008,-5.216754898826819e-06
0.10400000000000008,-5.424376936847986e-06
0.10500000000000008,-5.638114668586433e-06
0.10600000000000008,-5.858086032460886e-06
0.10700000000000008,-6.0844100559940155e-06
0.10800000000000008,-6.317206854799566e-06
0.10900000000000008,-6.556597631571224e-06
0.11000000000000008,-6.8027046750732305e-06
0.11100000000000008,-7.055651359132727e-06
0.11200000000000009,-7.315562141633839e-06
0.11300000000000009,-7.5825625635134916e-06
0.11400000000000009,-7.856779247758958e-06
0.11500000000000009,-8.138339898407138e-06
0.11600000000000009,-8.427373299545564e-06
0.11700000000000009,-8.724009314315129e-06
0.11800000000000009,-9.028378883914547e-06
0.11900000000000009,-9.34061402660653e-06
0.12000000000000009,-9.660847836725687e-06
0.1210000000000001,-9.989214483688143e-06
0.1220000000000001,-1.0325849211002869e-05
0.1230000000000001,-1.0670888335284735e-05
0.1240000000000001,-1.1024469245269267e-05
0.12500000000000008,-1.1386730400829127e-05
0.12600000000000008,-1.1757811331992291e-05
0.12700000000000009,-1.213785263796194e-05
0.12800000000000009,-1.2526995986138048e-05
0.1290000000000001,-1.2925384111140693e-05
0.1300000000000001,-1.333316081383505e-05
0.1310000000000001,-1.3750470960358091e-05
0.1320000000000001,-1.4177460481146986e-05
